fid,id,cod_ine_mu,cod_ine__1,cod_catast,nom_mun,nom_mun_ca,nom_mun__1,nom_mun_va,nom_mun__2,noms_mun,comarca,provincia,perimetro,area_ha,coord_x,coord_y
19,"210","03042","030422","03042",el Poble Nou de Benitatxell,Benitachell,Benitachell,el Poble Nou de Benitatxell,"Poble Nou de Benitatxell, el",el Poble Nou de Benitatxell/Benitachell,la Marina Alta,Alacant/Alicante,17629.299999999999272,1269.869999999999891,773732.236700,4290924.962000
20,"22","03043","030438","03043",Biar,Biar,Biar,Biar,Biar,Biar,l’Alt Vinalopó/El Alto Vinalopó,Alacant/Alicante,40765.599999999998545,9817.979999999999563,695991.418800,4279736.215000
21,"50","03044","030443","03044",Bigastro,Bigastro,Bigastro,Bigastro,Bigastro,Bigastro,el Baix Segura/La Vega Baja,Alacant/Alicante,13446.799999999999272,409.810000000000002,684636.639000,4214586.600000
22,"528","03045","030456","03045",Bolulla,Bolulla,Bolulla,Bolulla,Bolulla,Bolulla,la Marina Baixa,Alacant/Alicante,16399.200000000000728,1358.180000000000064,750400.420800,4285740.716000
23,"104","03048","030481","03048",Callosa d'en Sarrià,Callosa d'en Sarrià,Callosa d'en Sarrià,Callosa d'en Sarrià,Callosa d'en Sarrià,Callosa d'en Sarrià,la Marina Baixa,Alacant/Alicante,30570.000000000000000,3468.860000000000127,751987.865400,4282289.433000
24,"506","03049","030494","03049",Callosa de Segura,Callosa de Segura,Callosa de Segura,Callosa de Segura,Callosa de Segura,Callosa de Segura,el Baix Segura/La Vega Baja,Alacant/Alicante,41398.900000000001455,2490.929999999999836,686582.065900,4222840.327000
25,"415","03050","030507","03050",el Campello,el Campello,"Campello, el",el Campello,"Campello, el",el Campello,l'Alacantí,Alacant/Alicante,58040.099999999998545,5531.949999999999818,729211.161400,4260357.349000
26,"278","03057","030572","03057",Confrides,Confrides,Confrides,Confrides,Confrides,Confrides,la Marina Baixa,Alacant/Alicante,30732.700000000000728,4000.739999999999782,736901.510700,4284699.018000
27,"182","03058","030588","03058",Cox,Cox,Cox,Cox,Cox,Cox,el Baix Segura/La Vega Baja,Alacant/Alicante,35791.199999999997090,1671.009999999999991,684028.656600,4223850.719000
28,"540","03059","030591","03059",Crevillent,Crevillent,Crevillent,Crevillent,Crevillent,Crevillent,el Baix Vinalopó,Alacant/Alicante,51137.500000000000000,10456.069999999999709,691295.536500,4234106.657000
29,"510","03065","030651","03065",Elx,Elche,Elche,Elx,Elx,Elx/Elche,el Baix Vinalopó,Alacant/Alicante,92011.000000000000000,32691.750000000000000,704355.455100,4235832.727000
30,"328","03066","030664","03066",Elda,Elda,Elda,Elda,Elda,Elda,el Vinalopó Mitjà/El Vinalopó Medio,Alacant/Alicante,30495.000000000000000,4560.159999999999854,690094.634600,4260761.923000
31,"462","03067","030670","03067",Fageca,Fageca,Fageca,Fageca,Fageca,Fageca,el Comtat,Alacant/Alicante,15767.299999999999272,1018.059999999999945,736926.821800,4290515.899000
32,"369","03070","030703","03070",Formentera del Segura,Formentera del Segura,Formentera del Segura,Formentera del Segura,Formentera del Segura,Formentera del Segura,el Baix Segura/La Vega Baja,Alacant/Alicante,12947.100000000000364,435.000000000000000,698494.746100,4218691.563000
33,"166","03071","030710","03071",Gata de Gorgos,Gata de Gorgos,Gata de Gorgos,Gata de Gorgos,Gata de Gorgos,Gata de Gorgos,la Marina Alta,Alacant/Alicante,20161.900000000001455,2035.009999999999991,766717.456600,4295516.091000
34,"251","03072","030725","03072",Gaianes,Gaianes,Gaianes,Gaianes,Gaianes,Gaianes,el Comtat,Alacant/Alicante,12488.600000000000364,957.549999999999955,724796.474700,4299535.395000
35,"410","03073","030731","03073",Gorga,Gorga,Gorga,Gorga,Gorga,Gorga,el Comtat,Alacant/Alicante,18985.500000000000000,911.100000000000023,728313.583300,4289219.723000
36,"248","03074","030746","03074",Granja de Rocamora,Granja de Rocamora,Granja de Rocamora,Granja de Rocamora,Granja de Rocamora,Granja de Rocamora,el Baix Segura/La Vega Baja,Alacant/Alicante,41220.000000000000000,716.909999999999968,684468.714500,4225074.925000
37,"21","03075","030759","03075",el Castell de Guadalest,el Castell de Guadalest,"Castell de Guadalest, el",el Castell de Guadalest,"Castell de Guadalest, el",el Castell de Guadalest,la Marina Baixa,Alacant/Alicante,21936.900000000001455,1597.130000000000109,746344.152900,4283962.998000
38,"65","03076","030762","03076",Guardamar del Segura,Guardamar del Segura,Guardamar del Segura,Guardamar del Segura,Guardamar del Segura,Guardamar del Segura,el Baix Segura/La Vega Baja,Alacant/Alicante,37859.300000000002910,3370.690000000000055,704484.214100,4217272.984000
39,"390","03078","030784","03078",Hondón de los Frailes,Hondón de los Frailes,Hondón de los Frailes,Hondón de los Frailes,Hondón de los Frailes,Hondón de los Frailes,el Vinalopó Mitjà/El Vinalopó Medio,Alacant/Alicante,14918.100000000000364,1254.579999999999927,680888.530000,4237679.053000
40,"345","03083","030839","03083",Xixona,Jijona,Jijona,Xixona,Xixona,Xixona/Jijona,l'Alacantí,Alacant/Alicante,68923.500000000000000,16374.610000000000582,718759.582900,4269946.535000
41,"242","03088","030882","03088",Monforte del Cid,Monforte del Cid,Monforte del Cid,Monforte del Cid,Monforte del Cid,Monforte del Cid,el Vinalopó Mitjà/El Vinalopó Medio,Alacant/Alicante,40326.500000000000000,7954.119999999999891,701323.248800,4251046.144000
42,"539","03089","030895","03089",Monòver,Monóvar,Monóvar,Monòver,Monòver,Monòver/Monóvar,el Vinalopó Mitjà/El Vinalopó Medio,Alacant/Alicante,54857.000000000000000,15228.819999999999709,682221.725000,4255425.646000
43,"383","03090","030909","03090",Mutxamel,Mutxamel,Mutxamel,Mutxamel,Mutxamel,Mutxamel,l'Alacantí,Alacant/Alicante,34980.699999999997090,4773.520000000000437,720398.120100,4257035.429000
44,"494","03093","030937","03093",Novelda,Novelda,Novelda,Novelda,Novelda,Novelda,el Vinalopó Mitjà/El Vinalopó Medio,Alacant/Alicante,42525.199999999997090,7573.329999999999927,693337.356100,4251880.853000
45,"169","03094","030942","03094",la Nucia,la Nucia,"Nucia, la",la Nucia,"Nucia, la",la Nucia,la Marina Baixa,Alacant/Alicante,30877.799999999999272,2137.820000000000164,750780.720500,4276446.696000
46,"465","03098","030980","03098",Orxeta,Orxeta,Orxeta,Orxeta,Orxeta,Orxeta,la Marina Baixa,Alacant/Alicante,30111.200000000000728,2407.679999999999836,737042.522000,4270740.214000
47,"293","03102","031029","03102",Pego,Pego,Pego,Pego,Pego,Pego,la Marina Alta,Alacant/Alicante,33725.199999999997090,5290.989999999999782,751695.616700,4303425.729000
48,"124","03103","031035","03103",Penàguila,Penàguila,Penàguila,Penàguila,Penàguila,Penàguila,l'Alcoià,Alacant/Alicante,47898.300000000002910,4993.939999999999600,728541.635300,4282115.421000
49,"84","03104","031040","03104",Petrer,Petrer,Petrer,Petrer,Petrer,Petrer,el Vinalopó Mitjà/El Vinalopó Medio,Alacant/Alicante,43764.900000000001455,10429.829999999999927,697827.890800,4262861.443000
50,"288","03106","031066","03106",Planes,Planes,Planes,Planes,Planes,Planes,el Comtat,Alacant/Alicante,27984.299999999999272,3888.780000000000200,731755.076900,4297109.184000
51,"272","03110","031105","03110",el Ràfol d'Almúnia,el Ràfol d'Almúnia,"Ràfol d'Almúnia, el",el Ràfol d'Almúnia,"Ràfol d'Almúnia, el",el Ràfol d'Almúnia,la Marina Alta,Alacant/Alicante,12898.700000000000728,490.279999999999973,756002.800100,4302139.179000
52,"181","03111","031112","03111",Redován,Redován,Redován,Redován,Redován,Redován,el Baix Segura/La Vega Baja,Alacant/Alicante,22937.000000000000000,944.730000000000018,682192.431100,4221428.582000
53,"116","03113","031133","03113",Rojales,Rojales,Rojales,Rojales,Rojales,Rojales,el Baix Segura/La Vega Baja,Alacant/Alicante,37008.699999999997090,2773.079999999999927,700130.878400,4216482.162000
54,"295","03114","031148","03114",la Romana,la Romana,"Romana, la",la Romana,"Romana, la",la Romana,el Vinalopó Mitjà/El Vinalopó Medio,Alacant/Alicante,31955.200000000000728,4323.199999999999818,682812.416800,4247295.293000
55,"342","03117","031170","03117",Sanet y Negrals,Sanet y Negrals,Sanet y Negrals,Sanet y Negrals,Sanet y Negrals,Sanet y Negrals,la Marina Alta,Alacant/Alicante,8055.699999999999818,394.509999999999991,757967.577600,4300518.243000
56,"140","03119","031199","03119",Sant Joan d'Alacant,Sant Joan d'Alacant,Sant Joan d'Alacant,Sant Joan d'Alacant,Sant Joan d'Alacant,Sant Joan d'Alacant,l'Alacantí,Alacant/Alicante,13939.100000000000364,958.009999999999991,724543.974700,4253837.966000
57,"218","03120","031203","03120",San Miguel de Salinas,San Miguel de Salinas,San Miguel de Salinas,San Miguel de Salinas,San Miguel de Salinas,San Miguel de Salinas,el Baix Segura/La Vega Baja,Alacant/Alicante,29624.200000000000728,5485.289999999999964,692958.452100,4205301.080000
58,"195","03122","031225","03122",Sant Vicent del Raspeig,San Vicente del Raspeig,San Vicente del Raspeig,Sant Vicent del Raspeig,Sant Vicent del Raspeig,Sant Vicent del Raspeig/San Vicente del Raspeig,l'Alacantí,Alacant/Alicante,38586.099999999998545,4056.420000000000073,715224.536300,4256081.292000
59,"54","03134","031344","03134",la Vall d'Alcalà,la Vall d'Alcalà,"Vall d'Alcalà, la",la Vall d'Alcalà,"Vall d'Alcalà, la",la Vall d'Alcalà,la Marina Alta,Alacant/Alicante,24560.200000000000728,2286.409999999999854,738529.799100,4296869.737000
60,"133","03135","031357","03135",la Vall d'Ebo,la Vall d'Ebo,"Vall d'Ebo, la",la Vall d'Ebo,"Vall d'Ebo, la",la Vall d'Ebo,la Marina Alta,Alacant/Alicante,24077.599999999998545,3244.809999999999945,745726.454800,4298439.355000
61,"174","03136","031360","03136",la Vall de Gallinera,la Vall de Gallinera,"Vall de Gallinera, la",la Vall de Gallinera,"Vall de Gallinera, la",la Vall de Gallinera,la Marina Alta,Alacant/Alicante,36181.400000000001455,5366.739999999999782,740268.413400,4301508.847000
62,"453","03138","031382","03138",el Verger,el Verger,"Verger, el",el Verger,"Verger, el",el Verger,la Marina Alta,Alacant/Alicante,13679.899999999999636,810.480000000000018,759962.024600,4304446.567000
63,"241","03139","031395","03139",la Vila Joiosa,Villajoyosa,Villajoyosa,la Vila Joiosa,"Vila Joiosa, la",la Vila Joiosa/Villajoyosa,la Marina Baixa,Alacant/Alicante,45473.099999999998545,5890.460000000000036,739616.793700,4267227.263000
64,"360","03901","039016","03126",els Poblets,els Poblets,"Poblets, els",els Poblets,"Poblets, els",els Poblets,la Marina Alta,Alacant/Alicante,8632.500000000000000,368.329999999999984,761889.913000,4304985.404000
65,"260","03904","039042","03143",San Isidro,San Isidro,San Isidro,San Isidro,San Isidro,San Isidro,el Baix Segura/La Vega Baja,Alacant/Alicante,15948.500000000000000,1169.980000000000018,689009.884200,4227409.299000
66,"434","12002","120022","12002",Aín,Aín,Aín,Aín,Aín,Aín,la Plana Baixa,Castelló/Castellón,16779.099999999998545,1229.519999999999982,726680.809200,4419339.371000
67,"35","12003","120038","12003",Albocàsser,Albocàsser,Albocàsser,Albocàsser,Albocàsser,Albocàsser,l'Alt Maestrat,Castelló/Castellón,47047.599999999998545,8236.170000000000073,756152.569900,4473547.006000
68,"396","12006","120069","12006",Alcudia de Veo,Alcudia de Veo,Alcudia de Veo,Alcudia de Veo,Alcudia de Veo,Alcudia de Veo,la Plana Baixa,Castelló/Castellón,32159.400000000001455,3067.139999999999873,726919.842900,4422343.986000
69,"493","12008","120081","12008",Algimia de Almonacid,Algimia de Almonacid,Algimia de Almonacid,Algimia de Almonacid,Algimia de Almonacid,Algimia de Almonacid,El Alto Palancia,Castelló/Castellón,21719.599999999998545,2034.089999999999918,720450.120500,4421551.231000
70,"354","12011","120115","12011",Almenara,Almenara,Almenara,Almenara,Almenara,Almenara,la Plana Baixa,Castelló/Castellón,23842.200000000000728,2760.079999999999927,737612.784000,4403833.345000
71,"340","12013","120136","12013",Arañuel,Arañuel,Arañuel,Arañuel,Arañuel,Arañuel,El Alto Mijares,Castelló/Castellón,19013.500000000000000,1916.730000000000018,714131.672900,4440027.254000
72,"93","12014","120141","12014",Ares del Maestrat,Ares del Maestrat,Ares del Maestrat,Ares del Maestrat,Ares del Maestrat,Ares del Maestrat,l'Alt Maestrat,Castelló/Castellón,53913.300000000002910,11874.909999999999854,745126.147200,4481144.414000
73,"3","12022","120228","12022",Bejís,Bejís,Bejís,Bejís,Bejís,Bejís,El Alto Palancia,Castelló/Castellón,29091.299999999999272,4235.760000000000218,693507.961600,4419213.014000
74,"312","12025","120252","12025",Benafigos,Benafigos,Benafigos,Benafigos,Benafigos,Benafigos,l'Alt Maestrat,Castelló/Castellón,37402.400000000001455,3562.139999999999873,738467.106600,4461851.074000
75,"400","12026","120265","12026",Benassal,Benassal,Benassal,Benassal,Benassal,Benassal,l'Alt Maestrat,Castelló/Castellón,52282.900000000001455,7962.649999999999636,740409.149700,4474507.768000
76,"33","12027","120271","12027",Benicarló,Benicarló,Benicarló,Benicarló,Benicarló,Benicarló,el Baix Maestrat,Castelló/Castellón,34221.099999999998545,4792.390000000000327,788588.208700,4482568.584000
77,"121","12028","120287","12028",Benicàssim,Benicasim,Benicasim,Benicàssim,Benicàssim,Benicàssim/Benicasim,la Plana Alta,Castelló/Castellón,31947.400000000001455,3627.599999999999909,759484.829000,4438460.889000
78,"287","12034","120347","12034",Càlig,Càlig,Càlig,Càlig,Càlig,Càlig,el Baix Maestrat,Castelló/Castellón,24828.599999999998545,2749.909999999999854,784229.494100,4485084.157000
79,"365","12036","120363","12036",Canet lo Roig,Canet lo Roig,Canet lo Roig,Canet lo Roig,Canet lo Roig,Canet lo Roig,el Baix Maestrat,Castelló/Castellón,45197.300000000002910,6874.229999999999563,773762.079100,4495116.933000
80,"333","12037","120379","12037",Castell de Cabres,Castell de Cabres,Castell de Cabres,Castell de Cabres,Castell de Cabres,Castell de Cabres,el Baix Maestrat,Castelló/Castellón,28139.299999999999272,3073.489999999999782,757193.156600,4506553.890000
81,"486","12038","120385","12038",Castellfort,Castellfort,Castellfort,Castellfort,Castellfort,Castellfort,els Ports,Castelló/Castellón,46523.800000000002910,6677.420000000000073,737295.026600,4487709.160000
82,"226","12039","120398","12039",Castellnovo,Castellnovo,Castellnovo,Castellnovo,Castellnovo,Castellnovo,El Alto Palancia,Castelló/Castellón,22182.900000000001455,1920.940000000000055,718264.346400,4414714.855000
83,"372","12040","120402","12900",Castelló de la Plana,Castelló de la Plana,Castelló de la Plana,Castelló de la Plana,Castelló de la Plana,Castelló de la Plana,la Plana Alta,Castelló/Castellón,81929.899999999994179,11136.430000000000291,752441.162400,4431643.310000
84,"126","12041","120419","12041",Castillo de Villamalefa,Castillo de Villamalefa,Castillo de Villamalefa,Castillo de Villamalefa,Castillo de Villamalefa,Castillo de Villamalefa,El Alto Mijares,Castelló/Castellón,45658.699999999997090,3775.559999999999945,724280.389300,4447275.805000
85,"373","12043","120430","12043",Caudiel,Caudiel,Caudiel,Caudiel,Caudiel,Caudiel,El Alto Palancia,Castelló/Castellón,48758.199999999997090,6237.939999999999600,707296.271900,4429144.580000
86,"357","12049","120496","12049",Costur,Costur,Costur,Costur,Costur,Costur,l'Alcalatén,Castelló/Castellón,23088.900000000001455,2194.420000000000073,741805.536500,4445126.532000
87,"74","12051","120516","12051",Culla,Culla,Culla,Culla,Culla,Culla,l'Alt Maestrat,Castelló/Castellón,91374.100000000005821,11593.680000000000291,744449.238400,4465934.462000
88,"103","12053","120537","12053",Xilxes,Chilches,Chilches,Xilxes,Xilxes,Chilches/Xilxes,la Plana Baixa,Castelló/Castellón,16411.299999999999272,1350.890000000000100,741410.692400,4407109.867000
89,"301","12055","120555","12055",Xodos,Chodos,Chodos,Xodos,Xodos,Xodos/Chodos,l'Alcalatén,Castelló/Castellón,28427.099999999998545,4428.560000000000400,730593.820200,4456895.565000
90,"476","12056","120568","12056",Chóvar,Chóvar,Chóvar,Chóvar,Chóvar,Chóvar,El Alto Palancia,Castelló/Castellón,18865.500000000000000,1831.759999999999991,728936.225400,4414440.885000
91,"541","12057","120574","12057",Eslida,Eslida,Eslida,Eslida,Eslida,Eslida,la Plana Baixa,Castelló/Castellón,18851.700000000000728,1813.410000000000082,730446.007700,4418686.200000
92,"220","12058","120580","12058",Espadilla,Espadilla,Espadilla,Espadilla,Espadilla,Espadilla,El Alto Mijares,Castelló/Castellón,17206.799999999999272,1196.859999999999900,724784.817500,4433386.307000
93,"258","12061","120614","12061",Forcall,Forcall,Forcall,Forcall,Forcall,Forcall,els Ports,Castelló/Castellón,45807.900000000001455,3922.840000000000146,735672.169300,4504436.889000
94,"5","12064","120640","12064",Fuentes de Ayódar,Fuentes de Ayódar,Fuentes de Ayódar,Fuentes de Ayódar,Fuentes de Ayódar,Fuentes de Ayódar,El Alto Mijares,Castelló/Castellón,13045.399999999999636,1098.769999999999982,719695.597100,4433228.456000
95,"197","12065","120653","12065",Gaibiel,Gaibiel,Gaibiel,Gaibiel,Gaibiel,Gaibiel,El Alto Palancia,Castelló/Castellón,22051.599999999998545,1808.420000000000073,713681.287800,4422944.166000
96,"56","12067","120672","12067",Geldo,Geldo,Geldo,Geldo,Geldo,Geldo,El Alto Palancia,Castelló/Castellón,3553.400000000000091,56.369999999999997,716867.026900,4412630.585000
97,"524","12068","120688","12068",Herbers,Herbers,Herbers,Herbers,Herbers,Herbers,els Ports,Castelló/Castellón,28106.000000000000000,2713.599999999999909,752180.107600,4510709.729000
98,"484","12069","120691","12069",Higueras,Higueras,Higueras,Higueras,Higueras,Higueras,El Alto Palancia,Castelló/Castellón,15428.899999999999636,1184.819999999999936,712709.633000,4429816.197000
99,"59","12071","120712","12071",Jérica,Jérica,Jérica,Jérica,Jérica,Jérica,El Alto Palancia,Castelló/Castellón,57713.199999999997090,7829.270000000000437,706528.851900,4418311.480000
100,"159","12072","120727","12072",Llucena,Lucena del Cid,Lucena del Cid,Llucena,Llucena,Llucena/Lucena del Cid,l'Alcalatén,Castelló/Castellón,62098.400000000001455,13710.409999999999854,731602.034000,4447902.426000
101,"25","12073","120733","12073",Ludiente,Ludiente,Ludiente,Ludiente,Ludiente,Ludiente,El Alto Mijares,Castelló/Castellón,29944.299999999999272,3136.429999999999836,723572.092900,4441669.678000
102,"26","12076","120764","12076",Matet,Matet,Matet,Matet,Matet,Matet,El Alto Palancia,Castelló/Castellón,17967.099999999998545,1489.299999999999955,717309.562500,4424607.356000
103,"517","12078","120786","12078",Montán,Montán,Montán,Montán,Montán,Montán,El Alto Mijares,Castelló/Castellón,29986.400000000001455,3410.750000000000000,709023.804800,4433880.273000
104,"231","12083","120831","12083",Olocau del Rey,Olocau del Rey,Olocau del Rey,Olocau del Rey,Olocau del Rey,Olocau del Rey,els Ports,Castelló/Castellón,29339.400000000001455,4399.930000000000291,724991.126000,4502366.632000
105,"237","12084","120846","12084",Onda,Onda,Onda,Onda,Onda,Onda,la Plana Baixa,Castelló/Castellón,60355.300000000002910,10829.729999999999563,736720.613000,4429184.756000
106,"45","12085","120859","12085",Orpesa,Oropesa del Mar,Oropesa del Mar,Orpesa,Orpesa,Orpesa/Oropesa del Mar,la Plana Alta,Castelló/Castellón,30265.900000000001455,2651.090000000000146,766243.303700,4442643.131000
107,"13","12087","120878","12087",Palanques,Palanques,Palanques,Palanques,Palanques,Palanques,els Ports,Castelló/Castellón,23622.900000000001455,1432.960000000000036,737359.335500,4510354.000000
108,"445","12092","120923","12092",Puebla de Arenoso,Puebla de Arenoso,Puebla de Arenoso,Puebla de Arenoso,Puebla de Arenoso,Puebla de Arenoso,El Alto Mijares,Castelló/Castellón,30712.400000000001455,4254.239999999999782,706206.378800,4441957.328000
109,"384","12095","120957","12095",Ribesalbes,Ribesalbes,Ribesalbes,Ribesalbes,Ribesalbes,Ribesalbes,la Plana Baixa,Castelló/Castellón,14041.299999999999272,854.440000000000055,732287.275000,4434300.189000
110,"422","12097","120976","12097",Sacañet,Sacañet,Sacañet,Sacañet,Sacañet,Sacañet,El Alto Palancia,Castelló/Castellón,28933.000000000000000,3050.500000000000000,693804.183900,4413843.627000
111,"137","12098","120982","12098",la Salzadella,la Salzadella,"Salzadella, la",la Salzadella,"Salzadella, la",la Salzadella,el Baix Maestrat,Castelló/Castellón,39961.199999999997090,4979.960000000000036,767031.590700,4478836.399000
112,"211","12099","120995","12099",Sant Jordi,Sant Jordi,Sant Jordi,San Jorge,San Jorge,Sant Jordi/San Jorge,el Baix Maestrat,Castelló/Castellón,32154.900000000001455,3653.780000000000200,784539.614800,4492828.669000
113,"91","12103","121037","12103",la Serratella,la Serratella,"Serratella, la",la Serratella,"Serratella, la",la Serratella,l'Alt Maestrat,Castelló/Castellón,22825.799999999999272,1882.809999999999945,758134.291500,4466585.047000
114,"222","12104","121042","12104",Segorbe,Segorbe,Segorbe,Segorbe,Segorbe,Segorbe,El Alto Palancia,Castelló/Castellón,58489.800000000002910,10623.889999999999418,717236.592200,4407284.178000
115,"102","12105","121055","12105",Sierra Engarcerán,Sierra Engarcerán,Sierra Engarcerán,Sierra Engarcerán,Sierra Engarcerán,Sierra Engarcerán,la Plana Alta,Castelló/Castellón,43116.300000000002910,8204.479999999999563,752807.912900,4461237.339000
116,"409","12109","121093","12109",Tales,Tales,Tales,Tales,Tales,Tales,la Plana Baixa,Castelló/Castellón,20714.900000000001455,1453.259999999999991,730617.724200,4425168.884000
117,"346","12110","121107","12110",Teresa,Teresa,Teresa,Teresa,Teresa,Teresa,El Alto Palancia,Castelló/Castellón,21499.200000000000728,1988.900000000000091,698801.683900,4417992.634000
118,"31","12112","121129","12112",Todolella,Todolella,Todolella,Todolella,Todolella,Todolella,els Ports,Castelló/Castellón,30113.099999999998545,3404.260000000000218,731481.264300,4502880.438000
119,"320","12114","121140","12114",Torás,Torás,Torás,Torás,Torás,Torás,El Alto Palancia,Castelló/Castellón,17501.500000000000000,1678.500000000000000,697713.303500,4422428.758000
120,"358","12115","121153","12115",El Toro,El Toro,"Toro, El",El Toro,"Toro, El",El Toro,El Alto Palancia,Castelló/Castellón,56283.699999999997090,11004.549999999999272,690095.902100,4425773.849000
121,"442","12119","121191","12119",la Torre d'En Besora,la Torre d'En Besora,"Torre d'En Besora, la",la Torre d'En Besora,"Torre d'En Besora, la",la Torre d'En Besora,l'Alt Maestrat,Castelló/Castellón,15728.600000000000364,1231.869999999999891,748069.571100,4467408.215000
122,"331","12122","121227","12122",les Useres,Useras,Useras,les Useres,"Useres, les",les Useres/Useras,l'Alcalatén,Castelló/Castellón,44064.000000000000000,8073.869999999999891,744038.523700,4451490.891000
123,"81","12123","121233","12123",Vallat,Vallat,Vallat,Vallat,Vallat,Vallat,El Alto Mijares,Castelló/Castellón,9190.500000000000000,500.750000000000000,727478.984500,4435265.853000
124,"83","12124","121248","12124",Vall d'Alba,Vall d'Alba,Vall d'Alba,Vall d'Alba,Vall d'Alba,Vall d'Alba,la Plana Alta,Castelló/Castellón,32681.299999999999272,5295.600000000000364,752919.850200,4452203.271000
125,"391","12126","121264","12126",la Vall d'Uixó,la Vall d'Uixó,"Vall d'Uixó, la",la Vall d'Uixó,"Vall d'Uixó, la",la Vall d'Uixó,la Plana Baixa,Castelló/Castellón,36844.699999999997090,6711.770000000000437,736678.766900,4410726.806000
126,"11","12135","121359","12135",Vila-real,Vila-real,Vila-real,Vila-real,Vila-real,Vila-real,la Plana Baixa,Castelló/Castellón,34558.699999999997090,5518.949999999999818,745346.819500,4424272.076000
127,"89","12136","121362","12136",la Vilavella,la Vilavella,"Vilavella, la",la Vilavella,"Vilavella, la",la Vilavella,la Plana Baixa,Castelló/Castellón,11884.000000000000000,614.970000000000027,740152.598100,4416412.939000
128,"28","12138","121384","12138",Vinaròs,Vinaròs,Vinaròs,Vinaròs,Vinaròs,Vinaròs,el Baix Maestrat,Castelló/Castellón,57201.400000000001455,9565.979999999999563,791062.925000,4490071.784000
129,"444","12139","121397","12139",Vistabella del Maestrat,Vistabella del Maestrat,Vistabella del Maestrat,Vistabella del Maestrat,Vistabella del Maestrat,Vistabella del Maestrat,l'Alt Maestrat,Castelló/Castellón,76123.100000000005821,15068.030000000000655,729655.696300,4465266.747000
130,"341","12140","121401","12140",Viver,Viver,Viver,Viver,Viver,Viver,El Alto Palancia,Castelló/Castellón,33095.800000000002910,4993.619999999999891,702503.223300,4422924.604000
131,"227","12141","121418","12141",Zorita del Maestrazgo,Zorita del Maestrazgo,Zorita del Maestrazgo,Zorita del Maestrazgo,Zorita del Maestrazgo,Zorita del Maestrazgo,els Ports,Castelló/Castellón,41767.599999999998545,6887.430000000000291,739387.568100,4513950.474000
132,"184","12901","129018","12143",les Alqueries,Alquerías del Niño Perdido,Alquerías del Niño Perdido,les Alqueries,"Alqueries, les",les Alqueries/Alquerías del Niño Perdido,la Plana Baixa,Castelló/Castellón,17744.900000000001455,1294.309999999999945,745374.246100,4419399.960000
133,"457","12902","129023","12144",Sant Joan de Moró,Sant Joan de Moró,Sant Joan de Moró,Sant Joan de Moró,Sant Joan de Moró,Sant Joan de Moró,la Plana Alta,Castelló/Castellón,31063.299999999999272,2868.369999999999891,745011.910900,4439349.148000
134,"189","46001","460018","46001",Ademuz,Ademuz,Ademuz,Ademuz,Ademuz,Ademuz,El Rincón de Ademuz,València/Valencia,61260.199999999997090,10029.000000000000000,651016.271000,4436979.861000
135,"230","46002","460023","46002",Ador,Ador,Ador,Ador,Ador,Ador,la Safor,València/Valencia,34435.699999999997090,1383.640000000000100,739121.048400,4311924.654000
136,"303","46003","460039","46003",Atzeneta d'Albaida,Atzeneta d'Albaida,Atzeneta d'Albaida,Atzeneta d'Albaida,Atzeneta d'Albaida,Atzeneta d'Albaida,la Vall d'Albaida,València/Valencia,16970.900000000001455,617.929999999999950,718181.293700,4301099.878000
137,"109","46006","460060","46006",Albaida,Albaida,Albaida,Albaida,Albaida,Albaida,la Vall d'Albaida,València/Valencia,40478.800000000002910,3531.360000000000127,714807.977600,4302870.298000
138,"66","46010","460109","46010",Albalat dels Tarongers,Albalat dels Tarongers,Albalat dels Tarongers,Albalat dels Tarongers,Albalat dels Tarongers,Albalat dels Tarongers,el Camp de Morvedre,València/Valencia,29168.900000000001455,2135.530000000000200,726635.045200,4395237.881000
139,"522","46011","460116","46011",Alberic,Alberic,Alberic,Alberic,Alberic,Alberic,la Ribera Alta,València/Valencia,26781.900000000001455,2680.110000000000127,712915.727000,4332796.599000
140,"135","46012","460121","46012",Alborache,Alborache,Alborache,Alborache,Alborache,Alborache,La Hoya de Buñol,València/Valencia,30008.700000000000728,2733.510000000000218,693332.148300,4361083.363000
141,"475","46013","460137","46013",Alboraia,Alboraya,Alboraya,Alboraia,Alboraia,Alboraia/Alboraya,l'Horta Nord,València/Valencia,17416.799999999999272,832.529999999999973,728963.838900,4375702.166000
142,"200","46014","460142","46014",Albuixech,Albuixech,Albuixech,Albuixech,Albuixech,Albuixech,l'Horta Nord,València/Valencia,10122.399999999999636,436.290000000000020,730485.467700,4380469.200000
143,"437","46015","460155","46015",Alcàsser,Alcàsser,Alcàsser,Alcàsser,Alcàsser,Alcàsser,l'Horta Sud,València/Valencia,12678.299999999999272,894.620000000000005,719873.097200,4362176.140000
144,"110","46016","460168","46016",Alcàntera de Xúquer,Alcàntera de Xúquer,Alcàntera de Xúquer,Alcàntera de Xúquer,Alcàntera de Xúquer,Alcàntera de Xúquer,la Ribera Alta,València/Valencia,15987.500000000000000,341.139999999999986,711269.995600,4326930.575000
145,"48","46017","460174","46017",Alzira,Alzira,Alzira,Alzira,Alzira,Alzira,la Ribera Alta,València/Valencia,93933.000000000000000,11063.100000000000364,720328.212800,4335077.688000
