fid,id,cod_ine_mu,cod_ine__1,cod_catast,nom_mun,nom_mun_ca,nom_mun__1,nom_mun_va,nom_mun__2,noms_mun,comarca,provincia,perimetro,area_ha,coord_x,coord_y
460,"363","46104","461043","46106",Quatretonda,Quatretonda,Quatretonda,Quatretonda,Quatretonda,Quatretonda,la Vall d'Albaida,València/Valencia,40459.199999999997090,4359.300000000000182,726529.616600,4316620.613000
461,"538","46107","461075","46109",Chella,Chella,Chella,Chella,Chella,Chella,La Canal de Navarrés,València/Valencia,41008.199999999997090,4350.029999999999745,699098.192900,4323661.319000
462,"433","46108","461081","46110",Chera,Chera,Chera,Chera,Chera,Chera,La Plana de Utiel-Requena,València/Valencia,31770.500000000000000,4969.670000000000073,674901.219700,4383612.512000
463,"477","46111","461115","46113",Chiva,Chiva,Chiva,Chiva,Chiva,Chiva,La Hoya de Buñol,València/Valencia,83030.899999999994179,17794.939999999998690,694161.766000,4373332.821000
464,"8","46112","461120","46114",Chulilla,Chulilla,Chulilla,Chulilla,Chulilla,Chulilla,La Serranía,València/Valencia,32271.500000000000000,6163.239999999999782,683679.839500,4391301.608000
465,"51","46113","461136","46115",Daimús,Daimús,Daimús,Daimús,Daimús,Daimús,la Safor,València/Valencia,9023.200000000000728,315.589999999999975,746861.905500,4317535.848000
466,"420","46115","461154","46117",Dos Aguas,Dos Aguas,Dos Aguas,Dos Aguas,Dos Aguas,Dos Aguas,La Hoya de Buñol,València/Valencia,57809.900000000001455,12152.010000000000218,691954.148500,4351004.570000
467,"163","46118","461189","46120",Enguera,Enguera,Enguera,Enguera,Enguera,Enguera,La Canal de Navarrés,València/Valencia,77725.399999999994179,24198.689999999998690,689705.136500,4315058.852000
468,"108","46120","461206","46122",Estivella,Estivella,Estivella,Estivella,Estivella,Estivella,el Camp de Morvedre,València/Valencia,19913.500000000000000,2092.719999999999800,725546.123600,4399378.548000
469,"98","46122","461228","46124",Faura,Faura,Faura,Faura,Faura,Faura,el Camp de Morvedre,València/Valencia,9637.799999999999272,163.740000000000009,734979.834200,4401148.731000
470,"180","46124","461249","46126",Fontanars dels Alforins,Fontanars dels Alforins,Fontanars dels Alforins,Fontanars dels Alforins,Fontanars dels Alforins,Fontanars dels Alforins,la Vall d'Albaida,València/Valencia,41376.900000000001455,7468.720000000000255,692381.919400,4294676.131000
471,"326","46125","461252","46127",Fortaleny,Fortaleny,Fortaleny,Fortaleny,Fortaleny,Fortaleny,la Ribera Baixa,València/Valencia,15497.000000000000000,457.079999999999984,731796.089300,4339887.314000
472,"461","46126","461265","46128",Foios,Foios,Foios,Foios,Foios,Foios,l'Horta Nord,València/Valencia,21210.200000000000728,647.169999999999959,726805.325000,4380605.568000
473,"344","46127","461271","46129",la Font d'en Carròs,la Font d'en Carròs,"Font d'en Carròs, la",la Font d'en Carròs,"Font d'en Carròs, la",la Font d'en Carròs,la Safor,València/Valencia,13742.299999999999272,990.509999999999991,745972.228600,4311130.428000
474,"468","46128","461287","46130",la Font de la Figuera,la Font de la Figuera,"Font de la Figuera, la",la Font de la Figuera,"Font de la Figuera, la",la Font de la Figuera,la Costera,València/Valencia,43876.800000000002910,8470.750000000000000,682955.940900,4299546.017000
475,"375","46129","461290","46131",Fuenterrobles,Fuenterrobles,Fuenterrobles,Fuenterrobles,Fuenterrobles,Fuenterrobles,La Plana de Utiel-Requena,València/Valencia,29595.599999999998545,4943.680000000000291,640154.284100,4382218.730000
476,"424","46130","461304","46132",Gavarda,Gavarda,Gavarda,Gavarda,Gavarda,Gavarda,la Ribera Alta,València/Valencia,16337.000000000000000,798.820000000000050,711001.698300,4329948.886000
477,"69","46135","461350","46137",Godella,Godella,Godella,Godella,Godella,Godella,l'Horta Nord,València/Valencia,16282.899999999999636,825.779999999999973,721161.898600,4379392.526000
478,"440","46139","461398","46141",Guadassuar,Guadassuar,Guadassuar,Guadassuar,Guadassuar,Guadassuar,la Ribera Alta,València/Valencia,52484.400000000001455,3526.130000000000109,713258.208800,4339880.521000
479,"125","46140","461402","46142",Guardamar de la Safor,Guardamar de la Safor,Guardamar de la Safor,Guardamar de la Safor,Guardamar de la Safor,Guardamar de la Safor,la Safor,València/Valencia,6157.300000000000182,109.099999999999994,747266.053600,4316572.160000
480,"530","46141","461419","46143",Higueruelas,Higueruelas,Higueruelas,Higueruelas,Higueruelas,Higueruelas,La Serranía,València/Valencia,20963.200000000000728,1902.230000000000018,683030.081000,4404686.346000
481,"322","46142","461424","46144",Jalance,Jalance,Jalance,Jalance,Jalance,Jalance,El Valle de Cofrentes-Ayora,València/Valencia,49132.599999999998545,9476.329999999999927,664182.943100,4340272.122000
482,"526","46146","461461","46148",Xeresa,Xeresa,Xeresa,Xeresa,Xeresa,Xeresa,la Safor,València/Valencia,21565.299999999999272,1694.140000000000100,740211.048500,4321905.117000
483,"46","46154","461542","46156",Llanera de Ranes,Llanera de Ranes,Llanera de Ranes,Llanera de Ranes,Llanera de Ranes,Llanera de Ranes,la Costera,València/Valencia,30056.299999999999272,926.350000000000023,708477.880200,4319515.030000
484,"203","46155","461555","46157",Llaurí,Llaurí,Llaurí,Llaurí,Llaurí,Llaurí,la Ribera Baixa,València/Valencia,21735.500000000000000,1365.500000000000000,731320.848900,4335502.886000
485,"120","46156","461568","46158",Llombai,Llombai,Llombai,Llombai,Llombai,Llombai,la Ribera Alta,València/Valencia,40261.800000000002910,5560.189999999999600,707623.331600,4352301.479000
486,"292","46158","461580","46160",Macastre,Macastre,Macastre,Macastre,Macastre,Macastre,La Hoya de Buñol,València/Valencia,26180.299999999999272,3765.760000000000218,689919.680300,4357697.648000
487,"247","46159","461593","46161",Manises,Manises,Manises,Manises,Manises,Manises,l'Horta Sud,València/Valencia,20794.400000000001455,1938.059999999999945,715356.713400,4375042.370000
488,"6","46160","461607","46162",Manuel,Manuel,Manuel,Manuel,Manuel,Manuel,la Ribera Alta,València/Valencia,15066.000000000000000,605.059999999999945,717011.132500,4325807.706000
489,"176","46167","461672","46169",Millares,Millares,Millares,Millares,Millares,Millares,La Canal de Navarrés,València/Valencia,45543.199999999997090,10551.719999999999345,690542.729600,4342524.995000
490,"385","46169","461691","46171",Mislata,Mislata,Mislata,Mislata,Mislata,Mislata,l'Horta Sud,València/Valencia,8325.399999999999636,203.550000000000011,721788.423000,4372772.968000
491,"249","46170","461705","46172",Moixent,Mogente,Mogente,Moixent,Moixent,Moixent/Mogente,la Costera,València/Valencia,58637.699999999997090,14961.520000000000437,691073.820400,4304045.769000
492,"212","46172","461727","46174",Montserrat,Montserrat,Montserrat,Montserrat,Montserrat,Montserrat,la Ribera Alta,València/Valencia,27783.700000000000728,4587.699999999999818,708119.526600,4359874.264000
493,"156","46178","461786","46180",Nàquera,Náquera,Náquera,Nàquera,Nàquera,Nàquera/Náquera,el Camp de Túria,València/Valencia,27086.099999999998545,3872.400000000000091,721937.894600,4390670.071000
494,"205","46179","461799","46181",Navarrés,Navarrés,Navarrés,Navarrés,Navarrés,Navarrés,La Canal de Navarrés,València/Valencia,32586.900000000001455,4704.590000000000146,697508.493800,4329519.934000
495,"332","46183","461831","46185",l'Olleria,l'Olleria,"Olleria, l'",l'Olleria,"Olleria, l'",l'Olleria,la Vall d'Albaida,València/Valencia,26805.400000000001455,3223.480000000000018,712854.716900,4310164.502000
496,"4","46187","461878","46189",Palma de Gandía,Palma de Gandía,Palma de Gandía,Palma de Gandía,Palma de Gandía,Palma de Gandía,la Safor,València/Valencia,26952.900000000001455,1391.549999999999955,739388.236300,4314370.306000
497,"271","46189","461897","46191",el Palomar,el Palomar,"Palomar, el",el Palomar,"Palomar, el",el Palomar,la Vall d'Albaida,València/Valencia,25154.599999999998545,776.210000000000036,717736.081600,4303488.302000
498,"77","46190","461901","46192",Paterna,Paterna,Paterna,Paterna,Paterna,Paterna,l'Horta Nord,València/Valencia,33426.800000000002910,3672.789999999999964,717657.395400,4378044.830000
499,"286","46193","461939","46195",Picanya,Picanya,Picanya,Picanya,Picanya,Picanya,l'Horta Sud,València/Valencia,14905.299999999999272,722.019999999999982,720651.111200,4368076.344000
500,"389","46194","461944","46196",Picassent,Picassent,Picassent,Picassent,Picassent,Picassent,l'Horta Sud,València/Valencia,38327.099999999998545,8573.979999999999563,716634.937800,4358350.914000
501,"255","46196","461960","46198",Pinet,Pinet,Pinet,Pinet,Pinet,Pinet,la Vall d'Albaida,València/Valencia,16785.599999999998545,1189.539999999999964,731536.945700,4318420.896000
502,"531","46198","461982","46200",Potries,Potries,Potries,Potries,Potries,Potries,la Safor,València/Valencia,10027.399999999999636,307.490000000000009,743609.457100,4311069.094000
503,"304","46199","461995","46201",la Pobla de Farnals,la Pobla de Farnals,"Pobla de Farnals, la",la Pobla de Farnals,"Pobla de Farnals, la",la Pobla de Farnals,l'Horta Nord,València/Valencia,17822.500000000000000,363.069999999999993,731064.650200,4383781.133000
504,"516","46201","462016","46203",Puebla de San Miguel,Puebla de San Miguel,Puebla de San Miguel,Puebla de San Miguel,Puebla de San Miguel,Puebla de San Miguel,El Rincón de Ademuz,València/Valencia,35135.000000000000000,6360.020000000000437,659307.090700,4435621.114000
505,"421","46203","462037","46205",la Pobla Llarga,la Pobla Llarga,"Pobla Llarga, la",la Pobla Llarga,"Pobla Llarga, la",la Pobla Llarga,la Ribera Alta,València/Valencia,21576.500000000000000,1009.700000000000045,718631.255000,4328873.495000
506,"177","46204","462042","46206",el Puig de Santa Maria,el Puig de Santa Maria,"Puig de Santa Maria, el",el Puig de Santa Maria,"Puig de Santa Maria, el",el Puig de Santa Maria,l'Horta Nord,València/Valencia,30422.500000000000000,2681.510000000000218,730067.829000,4386678.847000
507,"501","46205","462055","46207",Puçol,Puçol,Puçol,Puçol,Puçol,Puçol,l'Horta Nord,València/Valencia,22211.299999999999272,1811.500000000000000,731268.380000,4388829.451000
508,"532","46207","462074","46209",Rafelbunyol,Rafelbunyol,Rafelbunyol,Rafelbunyol,Rafelbunyol,Rafelbunyol,l'Horta Nord,València/Valencia,12264.899999999999636,420.050000000000011,727721.958700,4386188.632000
